content_age,content_tables,content_text,content_total_pages,error,failed,id,metadata_author,metadata_date,metadata_extracted_at,metadata_file_name,metadata_page,metadata_source_type,metadata_title,metadata_total_pages,metadata_url,raw,source
1,,"tcs nqt paper 1 numerical ability: questions 1: what is the sum of lcm and hcf of 5/18, 35/9 and 15/63? 1. 1475/252 2. 1475/126 3. 625/252 4. 625/126 ans . 1475/126 question 2: the reciprocal of a fraction is more than itself by 21/240. how much is the difference between the possible values of the fraction more than 2? 1. 1/15 2. 1/16 3. 1/240 4. 1/256 ans: c question 3: a person invested 2⁄3 of his capital at the rate of 6% and 1⁄5 at the rate of 10% and the remainder at the rate of 15%. if his actual income is 3,600 the capital will be: option 1. rs. 5000 2. rs. 2500 3. rs. 7,500 4. rs. 4,500",29,,False,4441f372-0630-4ac3-9614-4e2b9dc38001,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:51.261071+00:00,TCS-NQT-Paper-1.pdf,1,pdf,TCS-NQT-Paper-1,29,,"TCS NQT Paper 1
Numerical Ability:
Questions 1: What is the sum of LCM and HCF of 5/18, 35/9 and 15/63?
1. 1475/252
2. 1475/126
3. 625/252
4. 625/126
Ans . 1475/126
Question 2: The reciprocal of a fraction is more than itself by 21/240. How much is
the difference between the possible values of the fraction more than 2?
1. 1/15
2. 1/16
3. 1/240
4. 1/256
Ans: C
Question 3: A person invested ⅔ of his capital at the rate of 6% and ⅕ at the rate of
10% and the remainder at the rate of 15%. If his actual income is 3,600 the capital
will be:
Option
1. Rs. 5000
2. Rs. 2500
3. Rs. 7,500
4. Rs. 4,500",pdf
2,,"answer: 45000 note: the answer will be 45000 and the options provided in the exam we wrong. question 4: if 8^x+1 + 8^1-x = 20, then x = ? 1. 1⁄4, -1⁄4 2. 1⁄2. -1⁄2 3. 1⁄3, -1⁄3 4. 1⁄5, -1⁄5 ans : c 1⁄3, -1⁄3 question 5: at an academic institution the break-up of holidays in 2016 was as under. • 52 weekends • 30 days of summer vacation which includes 4 weekends • autumn and winter breaks of (10+10) days each inclusive of one weekend • 14 holidays on special occasion out of which one was a saturday and one sunday what was the percentage (correct up to two decimal places) of the number of holidays? 1. 45.90% 2. 42.08% 3. 42.19% 4. 43.73% answer: 42.08 question 6: in a family of 10 adults and a few minors, the average consumption of flour is 12 kg. if the average consumption per adult and minor is 15 and 7 kg respectively.what is the number of minors?(averages) 1. 6 2. 7 3. 5 4. 8",29,,False,df6120ac-6e25-4f6d-b6f2-79b4d17abdde,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:51.415429+00:00,TCS-NQT-Paper-1.pdf,2,pdf,TCS-NQT-Paper-1,29,,"Answer: 45000
note: the answer will be 45000 and the options provided in the exam we wrong.
Question 4: If 8^x+1 + 8^1-x = 20, then x = ?
1. ¼, -¼
2. ½. -½
3. ⅓, -⅓
4. ⅕, -⅕
Ans : c ⅓, -⅓
Question 5: At an academic institution the break-up of holidays in 2016 was as under.
• 52 weekends
• 30 days of summer vacation which includes 4 weekends
• Autumn and Winter Breaks of (10+10) days each inclusive of one weekend
• 14 holidays on special occasion out of which one was a Saturday and one Sunday
What was the percentage (correct up to two decimal places) of the number of
holidays?
1. 45.90%
2. 42.08%
3. 42.19%
4. 43.73%
Answer: 42.08
Question 6:
In a family of 10 adults and a few minors, the average consumption of flour is 12 kg.
If the average consumption per adult and minor is 15 and 7 kg respectively.What is
the number of minors?(Averages)
1. 6
2. 7
3. 5
4. 8",pdf
3,,"answer: 6 question 7: a person lends 35% of his sum of money at 12.5% per annum, 50% at the end of 10% per annum and the rest at 18% per annum rate of interest. what would be the annual rate (in approx), if the interest is calculated on the whole sum?(si & ci) options 1. 13% 2. 14.5% 3. 13.5% 4. 13.75% answer: 13.475% ~ 13.5% question 8: the average weight of 6 people increases from 24 to 31.5 kg when one of them leaves the group and a new person joins in. if the weight of the person who joined is 60 kg, find the weight of the person who left the group?(average) 1. 22.5 2. 37.5 3. 15 4. 30 answer: 15 question 9: there are three types of alloys a, b and c. the ratio of copper, tin and nickel in a, b and c is 16:3:1 ,15:3:2 and 14:5:1 respectively. if the amount of a, b, and c 10 kg, 15 kg and 50 kg are mixed together respectively. then, the final ratio of copper tin and nickel in mixture is equal to 1. 217 65 18 2. 217 65 81 3. 217 56 18 4. 127 65 18 answer: a",29,,False,1f357684-389a-4d66-9d78-7b6dd9d7d01e,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:51.519542+00:00,TCS-NQT-Paper-1.pdf,3,pdf,TCS-NQT-Paper-1,29,,"Answer: 6
Question 7: A person lends 35% of his sum of money at 12.5% per annum, 50% at the
end of 10% per annum and the rest at 18% per annum rate of interest. What would be
the annual rate (in approx), if the interest is calculated on the whole sum?(SI & CI)
Options
1. 13%
2. 14.5%
3. 13.5%
4. 13.75%
Answer: 13.475% ~ 13.5%
Question 8: The average weight of 6 people increases from 24 to 31.5 kg when one
of them leaves the group and a new person joins in. If the weight of the person who
joined is 60 kg, find the weight of the person who left the group?(Average)
1. 22.5
2. 37.5
3. 15
4. 30
Answer: 15
Question 9: There are three types of alloys A, B and C. The ratio of Copper, Tin and
Nickel in A, B and C is 16:3:1 ,15:3:2 and 14:5:1 respectively. If the amount of A, B,
and C 10 kg, 15 kg and 50 kg are mixed together respectively. Then, the final ratio of
Copper Tin and Nickel in mixture is equal to
1. 217 65 18
2. 217 65 81
3. 217 56 18
4. 127 65 18
Answer: A",pdf
4,,"question 10: rahul bought a watch which has rs. 1,875 as a marked price at a 24% discount. rahul sold the watch to rohit earning a 28% profit. rohit then decided to sell the watch and set the marked price at 25% higher than the cost price at which he bought the watch. mohit bought the watch from rohit at a 15% discount on the marked price. mohit later marked up the price to 50% higher than the cost price at which he bought the watch and sold it to rahul at some discount. if rahul had to pay rs. 28.5 extra than the initial price he paid, then at what percent discount mohit sold the watch?(profit and loss) options 1. 35% 2. 50% 3. 45% 4. 40% question 11: if a road of 210 km can be constructed by 540 workmen in 28 days, how many workmen are required to build a road of 150 km in 18 days.(time and work) 1. 600 2. 300 3. 650 4. 450 answer: 600 question 12: two stations p and q are 42 km apart. rohit and mohit start from p to q at the speed of 6km/h and 8km/h, respectively mohit reaches q first and return to meet rohit at r. determine the distance between p and r in km(time speed distance) 1. 30 2. 36 3. 33 4. 27 answer: 36 km",29,,False,6d211e90-97af-474f-b1bb-450372fface6,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:51.689076+00:00,TCS-NQT-Paper-1.pdf,4,pdf,TCS-NQT-Paper-1,29,,"Question 10: Rahul bought a watch which has Rs. 1,875 as a marked price at a 24%
discount. Rahul sold the watch to Rohit earning a 28% profit. Rohit then decided to
sell the watch and set the marked price at 25% higher than the cost price at which he
bought the watch. Mohit bought the watch from Rohit at a 15% discount on the
marked price. Mohit later marked up the price to 50% higher than the cost price at
which he bought the watch and sold it to Rahul at some discount. If Rahul had to pay
Rs. 28.5 extra than the initial price he paid, then at what percent discount Mohit sold
the watch?(Profit and Loss)
Options
1. 35%
2. 50%
3. 45%
4. 40%
Question 11: If a road of 210 km can be constructed by 540 workmen in 28 days,
how many workmen are required to build a road of 150 km in 18 days.(Time and
Work)
1. 600
2. 300
3. 650
4. 450
Answer: 600
Question 12: Two stations P and Q are 42 km apart. Rohit and mohit start from P to
Q at the speed of 6km/h and 8km/h, respectively mohit reaches Q first and return to
meet rohit at R. Determine the distance between P and R in km(Time Speed
Distance)
1. 30
2. 36
3. 33
4. 27
Answer: 36 km",pdf
5,,"question 13: the railway platform at a certain station is 248m long. in how many seconds it is cleared by the express train which is 127 m long and travels at a speed of 150 km/h?(time speed distance) 1. 9 2. 12 3. 8 4. 10 answer: 9 seconds question 14: nookaraju and bhavana have their salaries in 7:3. as bhavana is skilled, she got an increment of 5,000. but nookaraju’ performance is not up to mark and he got a decrement of $1,000. if their present salaries are in ratio of 1:1, then nookaraju’s present salary is: (ratio and proportion) 1. 8,500 2. 9,500 3. 15,000 4. 10,500 answer: 9500 question 15: the perimeter of a regular hexagon with area of 21 sqrt 3 cm^2 is: (mensuration) 1. 12 sqrt 3 2. 6 sqrt 14 3. 9 sqrt 3 4. 7 sqrt 15 answer: option b – 6 sqrt 14 question 16: . if the first quartile q1 = 28 and third quartile q3 = 42 then the coefficient of quartile deviation is: (elementary statistics) 1. 1/5 2. 1/3 3. 1/4",29,,False,9e6dbf87-980d-4ee4-a52b-7818a466d67a,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:51.815143+00:00,TCS-NQT-Paper-1.pdf,5,pdf,TCS-NQT-Paper-1,29,,"Question 13: The railway platform at a certain station is 248m long. In how many
seconds it is cleared by the Express train which is 127 m long and travels at a speed
of 150 km/h?(Time Speed Distance)
1. 9
2. 12
3. 8
4. 10
Answer: 9 seconds
Question 14: Nookaraju and Bhavana have their salaries in 7:3. As Bhavana is skilled,
she got an increment of 5,000. But Nookaraju’ performance is not up to mark and he
got a decrement of $1,000. If their present salaries are in ratio of 1:1, then
Nookaraju’s present salary is: (Ratio and Proportion)
1. 8,500
2. 9,500
3. 15,000
4. 10,500
Answer: 9500
Question 15: The perimeter of a regular hexagon with area of 21 sqrt 3 cm^2
is: (Mensuration)
1. 12 sqrt 3
2. 6 sqrt 14
3. 9 sqrt 3
4. 7 sqrt 15
Answer: Option B – 6 sqrt 14
Question 16: . If the first quartile Q1 = 28 and third quartile Q3 = 42 Then the
coefficient of quartile deviation is: (Elementary Statistics)
1. 1/5
2. 1/3
3. 1/4",pdf
6,,"4. 1/2 ans – 1⁄5 question 17: a farmer purchased a trolley and a tractor for 8,00,000. he sold the tractor at a profit of 30% and the trolley at a loss of 10%, in this deal he got a profit of 3%. what is the ratio of the cost price of tractor and trolley. (profit and loss) 1. 54:31 2. 27:13 3. 13:27 4. 13:54 answer: option c : 13:27 question 18: the marked price of a marker is $5\tfrac{5}{9}$ % higher than it’s cost price. a discount of $5\tfrac{5}{19}$ % is given on its marked price. find the difference between cost price and selling price. (profit and loss) answer: 1 verbal ability: question 1. parts of the given sentence have been given as options. one of them contains a grammatical error. select the option that has the error. (error identification) a university training enables a graduate seeing things as they are, and to disentangle a plethora of thoughts 1. to disentangle a plethora of thoughts 2. a graduate seeing things as they are 3. to go right to the point 4. a university training enables answer – a graduate seeing things as they are question 2. identify the part of the sentence that has an error – (error identification)",29,,False,c863ce79-b8ec-4d51-b094-b729bd1a1d05,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:51.999141+00:00,TCS-NQT-Paper-1.pdf,6,pdf,TCS-NQT-Paper-1,29,,"4. 1/2
Ans – ⅕
Question 17: A farmer purchased a Trolley and a Tractor for 8,00,000. He sold the
Tractor at a profit of 30% and the Trolley at a loss of 10%, in this deal he got a profit
of 3%. What is the ratio of the cost price of tractor and trolley. (Profit and Loss)
1. 54:31
2. 27:13
3. 13:27
4. 13:54
Answer: Option C : 13:27
Question 18: The marked price of a marker is $5\tfrac{5}{9}$ % higher than it’s cost
price. A discount of $5\tfrac{5}{19}$ % is given on its marked price. Find the
difference between cost price and selling price. (Profit and Loss)
Answer: 1
Verbal Ability:
Question 1. Parts of the given sentence have been given as options. One of them
contains a grammatical error. Select the option that has the error. (Error
Identification)
A university training enables a graduate seeing things as they are, and to disentangle a
plethora of thoughts
1. to disentangle a plethora of thoughts
2. a graduate seeing things as they are
3. to go right to the point
4. A university training enables
Answer – a graduate seeing things as they are
Question 2. Identify the part of the sentence that has an error – (Error Identification)",pdf
7,,"i like to sit at the window for hours and see children playing in the park options: 1. i like to sit at 2. the window for hours 3. in the park 4. and see children playing answer – and see children playing question 3: each sentence contains four underlined phrases. three of these phases have been correctly used, and one has been incorrectly used. choose the phrase (from option) which best replaces the wrong phrases in the sentence. (sentence correction) explorers embody the finest spirit in human nature which is to seek new challenges, discover new worlds and create new frontiers and one such rare achievement of the indomitable spirit is the ascending of mount everest by hillary and tenzing. options 1. finer spirits 2. by the dominant 3. to have sought 4. the ascent answer – the ascent question 4: select the most appropriate set of options to fill in the blanks. bill gates dropped out from harvard within a year, then he formed microsoft. “microsoft’s (a) is a computer on every desk and microsoft software on every computer.” bill is a visionary and works very hard to (b) his vision. his belief in high intelligence and hard work had put him where he is today. he does not believe in mere luck or god’s grace, but just hard work and (c) . his beliefs are so powerful that they have helped him increase his wealth and establish his (d) in the industry.",29,,False,bcd12fe0-52e0-49d3-a135-798ad038a1ca,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:52.155613+00:00,TCS-NQT-Paper-1.pdf,7,pdf,TCS-NQT-Paper-1,29,,"I like to sit at the window for hours and see children playing in the park
Options:
1. I like to sit at
2. The window for hours
3. In the park
4. And see children playing
Answer – And see children playing
Question 3: Each sentence contains four underlined phrases. Three of these phases
have been correctly used, and one has been incorrectly used. Choose the phrase
(from option) which best replaces the wrong phrases in the sentence. (Sentence
correction)
Explorers embody the finest spirit in human nature which is to seek new challenges,
discover new worlds and create new frontiers and one such rare achievement of the
indomitable spirit is the ascending of Mount Everest by Hillary and Tenzing.
Options
1. Finer spirits
2. By the dominant
3. To have sought
4. The ascent
Answer – the ascent
Question 4: Select the most appropriate set of options to fill in the blanks.
Bill Gates dropped out from Harvard within a year, Then he formed Microsoft.
“Microsoft’s (A) is a computer on every desk and Microsoft software on
every computer.” Bill is a visionary and works very hard to (B) his vision. His
belief in high intelligence and hard work had put him where he is today. He does not
believe in mere luck or God’s grace, but just hard work and (C) . His beliefs are
so powerful that they have helped him increase his wealth and establish his (D)
in the industry.",pdf
8,,"(sentence completion) 1. (a)symbol (b) attain (c)investment (d) control 2. (a)target (b) progress(c)frankness (d) importance 3. (a)logo(b)believe (c)blessings (d) esteem 4. (a)vision (b) achieve (c)competitiveness (d) monopoly answer :- (a)vision (b) achieve (c)competitiveness (d) monopoly question 5. select the most appropriate set of options to fill in the blanks. mexico is home to more species of oak than any country in the world, though many of them are(1) . in the case of the arroyo oak, as it is known, the species now faces a particularly(2) problem. though plenty of trees aged more than 100 years can be found, locals(3) that in recent years there had been no seedlings that have sprouted from their acorns in sight. for some reason, the trees had(4) stopped reproducing. (sentence completion) blank 1 a. threaten b. threatened c. threatens d. threatening. blank 2 a. struggling b. troubling c. grieving d. agitating blank 3 a. regarded b. recognized c. noticed d. caught blank 4 a. commonly b. directly c. easily d. simply 1. 1-b, 2-b, 3-c, 4-d 2. 1-a, 2-b, 3-a, 4-d 3. 1-d, 2-a, 3-b, 4-c 4. 1-c, 2-d, 3-b, 4-b answer- 1-b (threatened), 2-b (troubling), 3-c, (noticed) 4-d (simply) question 6. choose the most appropriate set of idioms that would fit in the blanks and complete the text given here. (idioms and phrases) sadhguru, the famous mystic, made several attempts to improve the nation’s rivers a few years back. the government of india (1) some of his ideas he had",29,,False,962d6a60-b695-4455-9b21-1f1683760bb5,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:52.584358+00:00,TCS-NQT-Paper-1.pdf,8,pdf,TCS-NQT-Paper-1,29,,"(Sentence completion)
1. (A)Symbol (B) attain (C)investment (D) control
2. (A)target (B) progress(C)frankness (D) importance
3. (A)logo(B)believe (C)blessings (D) esteem
4. (A)vision (B) achieve (C)competitiveness (D) monopoly
Answer :- (A)vision (B) achieve (C)competitiveness (D) monopoly
Question 5. Select the most appropriate set of options to fill in the blanks.
Mexico is home to more species of oak than any country in the world, though many
of them are(1) . In the case of the arroyo oak, as it is known, the species now
faces a particularly(2) problem. Though plenty of trees aged more than 100 years
can be found, locals(3) that in recent years there had been no seedlings that have
sprouted from their acorns in sight. For some reason, the trees had(4) stopped
reproducing.
(Sentence Completion)
Blank 1 A. threaten B. threatened C. threatens D. threatening.
Blank 2 A. struggling B. troubling C. grieving D. agitating Blank
3 A. regarded B. recognized C. noticed D. caught
Blank 4 A. commonly B. directly C. easily D. simply
1. 1-B, 2-B, 3-C, 4-D
2. 1-A, 2-B, 3-A, 4-D
3. 1-D, 2-A, 3-B, 4-C
4. 1-C, 2-D, 3-B, 4-B
Answer- 1-B (threatened), 2-B (troubling), 3-C, (noticed) 4-D (simply)
Question 6. Choose the most appropriate set of idioms that would fit in the blanks
and complete the text given here. (Idioms and phrases)
Sadhguru, the famous mystic, made several attempts to improve the nation’s rivers a
few years back. The government of India (1) some of his ideas he had",pdf
9,,"incorporated in the union budget. however, his solutions were not received well in (2) . after bearing these criticisms he decided not to provide any more solutions but to focus on the problem itself. his strongest message?. we cannot (3) to the fact that soil is being rejected, whether it is concrete paving, denuding vegetation, use of chemicals etc. the soil is not being given the respect it deserves. he has now (4) of the politicians, the bureaucrats and the technocrats to find and execute solutions, if the mystics of their job and things may become missing . of what good is the soul without the soul. 1. 1. reflected upon 2. certain quarters 3. turn a blind eye 4 put the ball in the court 2. 1. reflected upon 2. a chunk of 3. turned the other way 4. gave up on 3. 1. reflected upon 2. a cross section 3. turned the other way 4. given up 4. 1. thought aloud 2. certain section 3. turn a deaf ear 4. taken a back seat answer:- 1. reflected upon 2. certain quarters 3. turn a blind eye 4 put the ball in the court question 7: choose the sentence in which the underlined idiom has been used appropriately. (idioms and phrases) 1. the way sanya’s obsessing over one doorknob when they’re renovating the entire house makes one think that she can’t see the wood in the trees. 2. marcus is so focused on product details that he can’t see the wood for the trees when it comes to the overall needs of the company. 3. the safety officer can’t see the wood for the trees because she doesn’t know which way to look. 4. raman always argues on the silliest topics, it’s like he can’t see the tree for the woods. answer – b question 8. four idioms are given below. choose their sequence that would fill in the blanks and complete the text here. instead of the big crowd we expected, people arrived in at the musical night. alpana alam is a rising star and is usually able to . even before the interval it was obvious that the event was . despite all this, alpana herself was . (idioms and phrases) 1. a dead duck 2. bring the house down 3. full of beans",29,,False,0f542c6e-8778-42c8-bb07-f932455f172d,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:52.897204+00:00,TCS-NQT-Paper-1.pdf,9,pdf,TCS-NQT-Paper-1,29,,"incorporated in the union budget. However, his solutions were not received well in (2)
. After bearing these criticisms he decided not to provide any more
solutions but to focus on the problem itself. His strongest message?. We cannot (3)
to the fact that soil is being rejected, whether it is concrete paving, denuding
vegetation, use of chemicals etc. The soil is not being given the respect it deserves.
He has now (4) of the politicians, the bureaucrats and the technocrats to find
and execute solutions, if the mystics of their job and things may become missing
. Of what good is the soul without the soul.
1. 1. Reflected upon 2. certain quarters 3. Turn a blind eye 4 put the ball in the court
2. 1. Reflected upon 2. A chunk of 3. Turned the other way 4. Gave up on
3. 1. Reflected upon 2. A cross section 3. Turned the other way 4. Given up
4. 1. Thought aloud 2. Certain section 3. Turn a deaf ear 4. Taken a back seat
Answer:- 1. Reflected upon 2. certain quarters 3. Turn a blind eye 4 put the ball in the court
Question 7: Choose the sentence in which the underlined idiom has been used
appropriately. (Idioms and phrases)
1. The way Sanya’s obsessing over one doorknob when they’re renovating the entire house
makes one think that she can’t see the wood in the trees.
2. Marcus is so focused on product details that he can’t see the wood for the trees when it
comes to the overall needs of the company.
3. The safety officer can’t see the wood for the trees because she doesn’t know which way
to look.
4. Raman always argues on the silliest topics, it’s like he can’t see the tree for the woods.
Answer – B
Question 8. Four idioms are given below. Choose their sequence that would fill in the
blanks and complete the text here.
Instead of the big crowd we expected, people arrived in at the musical night.
Alpana Alam is a rising star and is usually able to . Even before the interval it
was obvious that the event was . Despite all this, Alpana herself was
. (idioms and phrases)
1. A dead duck
2. Bring the house down
3. Full of beans",pdf
10,,"4. dribs and drabs 1. 1234 2. 4231 3. 4213 4. 1342 answer – 4213 question 9. given below is a paragraph with five sentences, which are presented in a jumbled order. write down the best order which would form a meaningful, unified and coherent paragraph. (para jumble) 1. we need to listen and act upon what birds are telling us, as they disappear ever faster of about 11,000 species and spanning the globe, the populations of half of them are falling, while just 6% are increasing 2. birds truly are the canary in the coal mine – as indicators for the health of our planet, given their sensitivity to ecosystem changes, their ubiquity around the panet, and how well studied they are. 3. conservation efforts have been successful at rescuing individual species in specific locations from the brink, but political will and funding are needed to reverse the global decline. 4. bird populations are affected by the damage caused by human activity, from the destruction of wild habitat , the climate crisis, the pesticides and other pollution to over- hunting and impacts of alien species and diseases. 5. billions of birds have been lost in recent decades in north america and europe alone, and while there are more species in the tropics, a higher proportion are at risk of extinction in the temperate and largely richer nations. note:- this question had no options. answer – badec question 10.the four sentence (s1 to s4) paragraph below, sentences s1 and s4 are given. from the options p, q, r and s, choose the appropriate sentences for this respectively: (sentence arrangement) s1. placebos are essential to the design of reliable clinical trials. s2. s3.",29,,False,6afb2131-d3e8-4568-b99a-461ec978cea2,Bhawna Pritam,D:20251030104857+05'30',2026-03-28T05:36:53.137513+00:00,TCS-NQT-Paper-1.pdf,10,pdf,TCS-NQT-Paper-1,29,,"4. dribs and drabs
1. 1234
2. 4231
3. 4213
4. 1342
Answer – 4213
Question 9. Given below is a paragraph with five sentences, which are presented in a
jumbled order. Write down the best order which would form a meaningful, unified
and coherent paragraph. (Para Jumble)
1. We need to listen and act upon what birds are telling us, as they disappear ever faster of
about 11,000 species and spanning the globe, the populations of half of them are falling,
while just 6% are increasing
2. Birds truly are the canary in the coal mine – as indicators for the health of our planet,
given their sensitivity to ecosystem changes, their ubiquity around the panet, and how
well studied they are.
3. Conservation efforts have been successful at rescuing individual species in specific
locations from the brink, but political will and funding are needed to reverse the global
decline.
4. Bird populations are affected by the damage caused by human activity, from the
destruction of wild habitat , the climate crisis, the pesticides and other pollution to over-
hunting and impacts of alien species and diseases.
5. Billions of birds have been lost in recent decades in North America and Europe alone, and
while there are more species in the tropics, a higher proportion are at risk of extinction in
the temperate and largely richer nations.
Note:- this question had no options. Answer –
BADEC
Question 10.The four sentence (S1 to S4) paragraph below, Sentences S1 and S4
are given. From the options P, Q, R and S, choose the appropriate sentences for this
respectively: (Sentence Arrangement)
S1. Placebos are essential to the design of reliable clinical trials.
S2.
S3.",pdf
